beef,2,356
beef,6,742
fish,5,250
banana,2,354
banana,6,356
water,4,742
mutton,4,742
apple,5,123
mutton,2,354
fish,6,895
pans,4,356
mutton,6,658
mutton,5,356
soda,4,214
banana,2,123
chesse,5,250
fish,6,796
pans,8,354
mutton,2,796
apple,2,895
fish,2,123
chesse,2,250
pans,4,742
apple,6,742
chicken,4,451
pans,2,250
mutton,4,451
beef,6,356
beef,8,354
pans,6,123
pans,7,742
chesse,4,354
apple,7,742
mutton,4,123
pans,7,356
pans,6,742
apple,6,354
banana,8,250
pans,7,354
fish,6,214
pans,4,895
fish,2,451
chesse,5,658
beef,7,214
chicken,6,742
soda,4,451
pans,4,123
beef,6,742
pans,7,354
chesse,5,356
mutton,2,214
soda,2,796
soda,6,742
mutton,2,742
apple,6,742
fish,8,895
beef,6,451
soda,5,356
banana,2,356
mutton,5,742
pans,7,658
water,8,214
chicken,4,214
soda,8,356
pans,4,354
water,4,796
apple,8,451
banana,8,123
apple,8,123
chicken,7,250
pans,4,356
chesse,2,356
banana,2,796
water,2,354
banana,8,742
chesse,2,796
banana,2,658
banana,8,895
chicken,4,451
apple,8,895
fish,7,658
fish,4,250
fish,2,354
chesse,8,354
banana,6,742
apple,2,658
beef,4,895
pans,8,354
chesse,4,658
apple,6,250
water,5,356
fish,8,895
banana,4,796
chesse,8,796
mutton,8,250
water,5,356
fish,2,742
chicken,7,742
pans,4,354
chicken,5,214
fish,5,742
fish,8,250
chicken,6,658
chesse,7,742
soda,6,658
beef,8,796
chesse,4,658
banana,4,250
mutton,2,742
apple,8,356
chesse,2,658
chicken,4,123
soda,2,214
apple,5,123
fish,2,742
mutton,2,123
apple,8,123
banana,8,796
apple,2,451
mutton,5,356
banana,2,123
soda,6,354
water,2,895
apple,4,451
chesse,8,658
water,2,250
water,7,895
apple,4,354
mutton,8,356
mutton,2,895
chicken,6,742
pans,7,742
pans,4,658
beef,5,214
fish,2,250
beef,2,451
chesse,2,356
chesse,6,658
water,2,895
banana,7,742
water,6,451
soda,8,796
chicken,8,451
fish,7,895
mutton,6,354
pans,8,742
banana,4,356
banana,6,742
chicken,2,250
fish,8,354
chesse,8,214
fish,5,356
banana,6,658
beef,6,796
chesse,6,214
soda,6,356
apple,8,214
beef,4,354
fish,7,356
banana,8,742
mutton,4,354
fish,5,356
beef,2,658
mutton,7,354
banana,8,796
mutton,2,356
fish,8,356
chicken,6,356
soda,4,354
apple,8,796
banana,4,250
beef,7,354
soda,8,658
water,8,658
water,6,658
banana,7,742
apple,6,354
banana,7,123
chesse,6,451
chicken,6,123
chicken,4,451
beef,8,123
beef,5,895
pans,2,895
pans,6,214
banana,2,451
beef,6,354
water,2,354
chesse,6,658
water,8,451
banana,8,354
water,2,796
apple,8,356
apple,2,895
fish,8,451
soda,4,895
apple,5,250
banana,2,895
soda,2,451
banana,6,123
beef,8,451
fish,2,451
banana,6,742
mutton,2,895
banana,4,214
soda,2,356
beef,6,451
pans,2,250
soda,7,742
chicken,6,742
beef,7,658
mutton,2,742
pans,4,796
apple,8,451
soda,5,658
fish,8,895
beef,8,123
pans,6,742
fish,7,658
beef,4,356
beef,2,742
mutton,6,796
pans,7,742
banana,4,895
water,8,123
beef,2,895
chesse,5,250
pans,2,354
banana,7,214
mutton,2,895
pans,6,214
banana,6,742
chesse,6,354
soda,6,354
chicken,6,742
chicken,4,214
chesse,8,123
fish,6,214
soda,7,354
fish,8,658
apple,6,451
water,4,895
chesse,6,451
banana,7,451
mutton,5,250
beef,6,123
fish,8,250
banana,6,214
mutton,2,796
chicken,6,250
chicken,6,742
banana,4,214
soda,2,895
soda,7,123
mutton,2,742
soda,2,742
fish,5,451
pans,8,356
fish,5,356
banana,6,796
fish,8,356
water,7,658
chicken,4,214
chesse,6,356
beef,7,742
apple,6,895
fish,7,123
fish,6,658
fish,6,356
apple,6,796
mutton,2,796
chesse,2,354
apple,8,742
pans,4,796
mutton,6,356
fish,2,214
mutton,6,658
pans,6,214
fish,4,354
banana,8,250
chesse,7,658
chesse,2,742
pans,6,354
beef,6,250
chicken,5,356
banana,5,123
mutton,6,658
chesse,2,356
pans,8,250
pans,8,356
water,7,895
mutton,4,658
banana,4,742
mutton,8,123
mutton,2,356
mutton,7,895
pans,7,214
soda,5,250
soda,5,214
beef,2,895
fish,8,356
soda,2,214
pans,6,214
beef,6,356
chicken,6,895
pans,8,451
pans,6,451
beef,5,354
mutton,6,451
apple,7,123
banana,5,742
apple,8,451
mutton,5,658
soda,8,796
pans,4,123
pans,4,123
water,8,356
mutton,4,123
fish,8,796
pans,2,214
beef,2,356
apple,4,250
chicken,7,742
chicken,6,742
chicken,5,214
apple,8,123
beef,4,123
fish,2,451
water,7,356
fish,8,742
chicken,8,214
banana,5,356
mutton,4,123
pans,2,658
chesse,8,658
chicken,4,123
banana,2,895
soda,8,895
fish,2,451
water,4,742
banana,7,123
soda,5,796
fish,2,796
soda,7,123
mutton,8,796
beef,8,895
apple,4,658
chesse,2,356
mutton,2,214
pans,5,354
soda,8,123
pans,2,214
mutton,2,354
chesse,8,658
chesse,8,658
fish,4,451
mutton,6,796
beef,6,742
water,6,451
beef,6,658
mutton,2,742
beef,4,123
pans,8,451
beef,2,354
apple,8,796
fish,4,451
chesse,2,451
water,6,356
mutton,8,250
pans,4,658
mutton,2,356
mutton,6,658
soda,7,895
mutton,8,356
beef,7,123
fish,4,356
mutton,5,214
chesse,8,895
fish,4,356
water,6,742
water,5,742
apple,6,214
chicken,8,742
mutton,8,451
pans,4,742
chicken,2,250
mutton,5,354
chicken,7,796
chesse,4,451
banana,4,354
water,4,250
beef,4,451
mutton,4,796
beef,5,796
chesse,4,354
pans,2,658
mutton,7,658
fish,2,123
soda,5,214
soda,4,356

Green,1,60
Black,12,90
Cream,7,45
Orange,7,90
Cream,12,40
Red,2,85
Orange,3,80
Red,7,40
Blue,1,45
Green,2,50
Peach,12,90
Red,8,90
Cyan,10,65
Red,7,45
Peach,4,60
Blue,9,55
Cream,8,65
Neon,2,55
Red,7,60
Cyan,2,60
Pink,8,55
Blue,3,50
Orange,10,85
Peach,5,85
Cyan,3,90
Blue,5,90
Black,3,45
Cream,9,30
Pink,12,90
Cyan,1,30
Red,3,80
Cyan,1,45
Cyan,3,30
Neon,7,55
Cream,8,55
Pink,10,80
Cyan,7,80
Black,2,30
Cyan,8,50
Peach,4,85
Blue,10,40
Green,8,55
Peach,1,55
Orange,4,80
Orange,5,80
Peach,5,60
Blue,3,90
Pink,5,90
Black,10,60
Red,10,50
Red,7,55
Peach,3,80
Neon,12,80
Cyan,1,60
Cyan,8,80
Red,9,80
Green,7,50
Neon,5,90
Peach,9,90
Peach,5,90
Green,12,60
Green,12,45
Pink,9,80
Orange,3,50
Cyan,8,90
Cream,7,60
Black,5,80
Cream,10,90
Blue,8,90
Neon,12,60
Cyan,3,55
Neon,10,45
Black,1,85
Peach,2,90
Cream,4,65
Neon,12,40
Red,8,65
Pink,2,30
Black,8,80
Orange,4,85
Cyan,2,85
Cyan,3,80
Peach,4,55
Cyan,2,40
Green,10,85
Blue,12,40
Red,1,30
Black,12,30
Neon,10,40
Pink,1,50
Orange,7,30
Green,9,85
Cream,12,80
Blue,4,40
Orange,12,55
Cyan,1,80
Neon,4,65
Green,10,85
Black,8,30
Red,9,90
